student_name,subject,exam_score
Loris,Math,74
Loris,Speech,77
Loris,Composition,85
Loris,Biology,69
Kati,Math,70
Kati,Speech,82
Kati,Composition,95
Kati,Biology,76
Alcina,Math,94
Alcina,Speech,73
Alcina,Composition,74
Alcina,Biology,85
Sloane,Math,77
Sloane,Speech,81
Sloane,Composition,84
Sloane,Biology,90
Marinella,Math,82
Marinella,Speech,93
Marinella,Composition,69
Marinella,Biology,72
Uwe,Math,93
Uwe,Speech,97
Uwe,Composition,87
Uwe,Biology,80
Frank,Math,88
Frank,Speech,95
Frank,Composition,96
Frank,Biology,96
Clem,Math,78
Clem,Speech,90
Clem,Composition,70
Clem,Biology,85
